iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.181120834991,0.162988387249,0.167379763081,0.57433808554,0.626016260163,0.597402597403,0.310231023102,0.378378378378,0.261904761905,0.070667992
10,0.179011938728,0.162309658503,0.166227019576,0.572301425662,0.634146341463,0.597402597403,0.3,0.383561643836,0.243902439024,0.602779916
20,0.178434697583,0.162084000355,0.166063407881,0.576374745418,0.634146341463,0.597402597403,0.292517006803,0.383561643836,0.243902439024,1.125059225
30,0.177994624355,0.162471962634,0.165904558018,0.57433808554,0.634146341463,0.590909090909,0.286689419795,0.383561643836,0.222222222222,1.722495349
40,0.174647690565,0.161690441657,0.165771243483,0.584521384929,0.634146341463,0.597402597403,0.276595744681,0.383561643836,0.184210526316,2.301801843
50,0.172041863514,0.158885469497,0.164922163668,0.590631364562,0.634146341463,0.616883116883,0.269090909091,0.366197183099,0.191780821918,2.914620672
60,0.171203817604,0.15924231885,0.164582524975,0.588594704684,0.617886178862,0.623376623377,0.262773722628,0.31884057971,0.194444444444,3.507114662
70,0.169584109522,0.155031535815,0.163657215139,0.596741344196,0.642276422764,0.636363636364,0.287769784173,0.371428571429,0.222222222222,4.124914903
80,0.168478387151,0.153683134749,0.163396214431,0.602851323829,0.642276422764,0.62987012987,0.285714285714,0.371428571429,0.197183098592,4.697691481
90,0.16698454391,0.152764918479,0.162897876283,0.615071283096,0.650406504065,0.636363636364,0.292134831461,0.376811594203,0.2,5.259112567
100,0.166857546672,0.152481376861,0.162820036978,0.617107942974,0.650406504065,0.636363636364,0.293233082707,0.376811594203,0.2,5.81440471
110,0.164444149498,0.148214102837,0.162970097466,0.623217922607,0.658536585366,0.636363636364,0.280155642023,0.382352941176,0.176470588235,6.374235978
120,0.163092842209,0.146321950026,0.162577257967,0.631364562118,0.674796747967,0.62987012987,0.273092369478,0.375,0.149253731343,6.904512379
130,0.162023756621,0.145443331944,0.162914043651,0.637474541752,0.666666666667,0.62987012987,0.270491803279,0.349206349206,0.149253731343,7.502616898
140,0.161453437744,0.144130315457,0.16245380557,0.639511201629,0.674796747967,0.62987012987,0.277551020408,0.375,0.149253731343,8.082802194
150,0.161329723477,0.14403745855,0.162425847471,0.639511201629,0.674796747967,0.62987012987,0.277551020408,0.375,0.149253731343,8.603957021
160,0.15993495835,0.144161854925,0.1618821928,0.643584521385,0.666666666667,0.636363636364,0.273858921162,0.349206349206,0.151515151515,9.16975185
170,0.159728609402,0.1442964297,0.161497053056,0.645621181263,0.666666666667,0.642857142857,0.275,0.349206349206,0.179104477612,9.774419283
180,0.159052179965,0.14397523564,0.161402865586,0.645621181263,0.674796747967,0.642857142857,0.268907563025,0.354838709677,0.179104477612,10.338790418
190,0.158760236782,0.143820447065,0.161199023461,0.643584521385,0.674796747967,0.636363636364,0.261603375527,0.354838709677,0.151515151515,11.218751128
200,0.158202633884,0.143176968774,0.160774333093,0.647657841141,0.682926829268,0.642857142857,0.270042194093,0.360655737705,0.179104477612,12.316977258
210,0.157724122762,0.143938116475,0.160365014123,0.643584521385,0.682926829268,0.642857142857,0.267782426778,0.360655737705,0.179104477612,13.672878368
220,0.157871317708,0.144701080083,0.160990665104,0.647657841141,0.666666666667,0.649350649351,0.276150627615,0.349206349206,0.205882352941,14.796069062
230,0.1565116014,0.144835660557,0.15969723559,0.65784114053,0.674796747967,0.649350649351,0.28813559322,0.375,0.205882352941,15.930948499
240,0.156305082172,0.144875012929,0.159276775274,0.65784114053,0.674796747967,0.649350649351,0.28813559322,0.375,0.205882352941,16.981134216
250,0.156230916522,0.145402957609,0.159294082669,0.65784114053,0.674796747967,0.642857142857,0.28813559322,0.375,0.202898550725,18.15448685
260,0.155894746291,0.145370433811,0.158791759002,0.659877800407,0.674796747967,0.642857142857,0.295358649789,0.375,0.202898550725,19.18518586
270,0.154596066902,0.143097455181,0.15858734291,0.663951120163,0.674796747967,0.649350649351,0.273127753304,0.354838709677,0.205882352941,20.203706833
280,0.153962792578,0.143773340422,0.158120855798,0.65784114053,0.674796747967,0.642857142857,0.282051282051,0.375,0.202898550725,21.2366252
290,0.154102738734,0.144100857586,0.158480902045,0.659877800407,0.674796747967,0.649350649351,0.283261802575,0.375,0.205882352941,22.262135498
300,0.153713450023,0.144051843031,0.156591800687,0.659877800407,0.674796747967,0.655844155844,0.301255230126,0.375,0.253521126761,23.274995206
310,0.153312103163,0.143022216235,0.156085840751,0.661914460285,0.674796747967,0.655844155844,0.302521008403,0.375,0.253521126761,24.263504795
320,0.153315748256,0.143123289965,0.156117384019,0.661914460285,0.666666666667,0.655844155844,0.302521008403,0.369230769231,0.253521126761,25.296109512
330,0.152090064622,0.140109359225,0.155568864326,0.663951120163,0.691056910569,0.655844155844,0.291845493562,0.387096774194,0.253521126761,26.272260896
340,0.151644416431,0.139969898995,0.15586508557,0.668024439919,0.691056910569,0.655844155844,0.294372294372,0.387096774194,0.253521126761,27.277354613
350,0.151477492172,0.14000505931,0.156248875781,0.670061099796,0.691056910569,0.655844155844,0.295652173913,0.387096774194,0.253521126761,28.286457514
360,0.151333956499,0.139015868326,0.156639917372,0.659877800407,0.691056910569,0.662337662338,0.264317180617,0.387096774194,0.257142857143,29.272409747
370,0.150456771464,0.138954293049,0.156808316001,0.65784114053,0.691056910569,0.642857142857,0.294117647059,0.387096774194,0.246575342466,30.244870442
