iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.322787598762,0.314348306116,0.323458241733,0.348268839104,0.357723577236,0.350649350649,0.515151515152,0.521212121212,0.519230769231,1.021682375
10,0.173699367622,0.17364219787,0.175098766005,0.651731160896,0.650406504065,0.649350649351,0,0,0,10.645023976
20,0.1782249905,0.180314891529,0.17584154771,0.606924643585,0.617886178862,0.623376623377,0.0765550239234,0.078431372549,0.0645161290323,21.955078557
30,0.147200637891,0.134336824168,0.140211830018,0.659877800407,0.707317073171,0.681818181818,0.283261802575,0.4,0.363636363636,41.508884412
40,0.129802602519,0.133744966364,0.125941902336,0.696537678208,0.666666666667,0.694805194805,0.401606425703,0.388059701493,0.433734939759,72.579082133
50,0.149948844767,0.153780762997,0.142518504254,0.659877800407,0.658536585366,0.662337662338,0.177339901478,0.16,0.277777777778,103.328638858
60,0.180718619571,0.185058400339,0.17203393527,0.562118126273,0.520325203252,0.597402597403,0.539614561028,0.535433070866,0.581081081081,134.100726321
70,0.120092408388,0.109152782717,0.118755767699,0.725050916497,0.764227642276,0.720779220779,0.490566037736,0.632911392405,0.547368421053,167.576707413
80,0.125004874281,0.132805303279,0.111648752302,0.704684317719,0.674796747967,0.714285714286,0.480286738351,0.444444444444,0.531914893617,202.401979657
90,0.116801373795,0.115979027123,0.114596108692,0.718940936864,0.739837398374,0.701298701299,0.622950819672,0.666666666667,0.616666666667,236.487768292
100,0.110951848012,0.115924871017,0.12332400965,0.745417515275,0.731707317073,0.720779220779,0.531835205993,0.56,0.527472527473,291.541926266
110,0.098549499032,0.127326630085,0.115306048432,0.773930753564,0.707317073171,0.74025974026,0.681948424069,0.6,0.622641509434,325.625261912
120,0.1226895399,0.134453201625,0.117129059834,0.729124236253,0.69918699187,0.74025974026,0.505576208178,0.430769230769,0.545454545455,351.331270481
130,0.109233641505,0.1251370929,0.106867281695,0.737270875764,0.707317073171,0.74025974026,0.565656565657,0.538461538462,0.583333333333,396.697919977
140,0.0998846400038,0.135521571648,0.125449921139,0.75967413442,0.691056910569,0.707792207792,0.62893081761,0.568181818182,0.571428571429,434.517535197
150,0.104860565455,0.115642005105,0.124508717297,0.749490835031,0.723577235772,0.681818181818,0.628398791541,0.585365853659,0.542056074766,458.551447164
160,0.0977792656206,0.121937486196,0.121606091407,0.763747454175,0.69918699187,0.701298701299,0.662790697674,0.602150537634,0.59649122807,481.469685884
170,0.101944187967,0.129151928822,0.1319955856,0.757637474542,0.682926829268,0.701298701299,0.67397260274,0.621359223301,0.616666666667,503.454348615
180,0.0991408935033,0.112800684114,0.121679513066,0.749490835031,0.723577235772,0.694805194805,0.637168141593,0.622222222222,0.576576576577,526.760228917
190,0.0989018217283,0.0981513287311,0.119328633064,0.757637474542,0.747967479675,0.714285714286,0.662889518414,0.651685393258,0.614035087719,549.815034558
200,0.0971537471981,0.115303693594,0.123080323209,0.75967413442,0.69918699187,0.74025974026,0.677595628415,0.626262626263,0.661016949153,571.104487544
210,0.0985445132956,0.116837102686,0.128369205275,0.765784114053,0.715447154472,0.701298701299,0.704370179949,0.672897196262,0.629032258065,591.119285735
220,0.0982213319065,0.117958106411,0.120079115905,0.757637474542,0.691056910569,0.714285714286,0.664788732394,0.577777777778,0.614035087719,611.73878719
230,0.103162739981,0.129223724158,0.136085821052,0.749490835031,0.642276422764,0.675324675325,0.699266503667,0.607142857143,0.615384615385,635.868508421
240,0.0948892256263,0.114356611281,0.124634437555,0.769857433809,0.707317073171,0.701298701299,0.700265251989,0.632653061224,0.622950819672,658.026766187
250,0.0953853796289,0.11727888258,0.122794584602,0.767820773931,0.69918699187,0.694805194805,0.693548387097,0.602150537634,0.598290598291,680.844139712
260,0.0913414732014,0.108416606452,0.120674469951,0.775967413442,0.69918699187,0.688311688312,0.702702702703,0.593406593407,0.6,703.204366717
270,0.0924209164053,0.108895948118,0.118206041605,0.767820773931,0.731707317073,0.701298701299,0.672413793103,0.611764705882,0.589285714286,726.41712247
280,0.102989271313,0.0976712816976,0.129224329034,0.749490835031,0.756097560976,0.668831168831,0.559139784946,0.605263157895,0.451612903226,747.643564785
290,0.0978691604595,0.0985900899989,0.119861847126,0.75967413442,0.731707317073,0.714285714286,0.606666666667,0.592592592593,0.56862745098,770.555666931
300,0.0929205211573,0.10835218133,0.119533461081,0.755600814664,0.723577235772,0.681818181818,0.666666666667,0.613636363636,0.588235294118,791.976598852
310,0.0918790777129,0.1062604565,0.11951235002,0.75967413442,0.739837398374,0.720779220779,0.66091954023,0.636363636364,0.619469026549,813.072823681
320,0.0940923741631,0.111332164058,0.119089829247,0.763747454175,0.747967479675,0.720779220779,0.664739884393,0.64367816092,0.619469026549,834.895307496
330,0.0948275086156,0.104696295265,0.125725077419,0.769857433809,0.756097560976,0.701298701299,0.67055393586,0.666666666667,0.610169491525,855.570009062
340,0.0936206620674,0.105434098308,0.120637079793,0.763747454175,0.739837398374,0.701298701299,0.66081871345,0.636363636364,0.581818181818,877.46445549
350,0.0951667307189,0.101192957822,0.124389401312,0.757637474542,0.756097560976,0.694805194805,0.670360110803,0.6875,0.611570247934,898.357468569
360,0.0947767567968,0.103265208475,0.127439552678,0.773930753564,0.747967479675,0.688311688312,0.694214876033,0.659340659341,0.593220338983,918.694679407
370,0.0954144883814,0.102217734885,0.12819866408,0.763747454175,0.747967479675,0.694805194805,0.686486486486,0.673684210526,0.624,940.995648755
380,0.0983730727256,0.104995823631,0.130905271199,0.755600814664,0.731707317073,0.701298701299,0.684210526316,0.666666666667,0.634920634921,963.258443725
390,0.0957717262888,0.103773575679,0.125167004538,0.757637474542,0.739837398374,0.694805194805,0.670360110803,0.666666666667,0.605042016807,985.872945683
400,0.0962743444149,0.102321192436,0.126677448109,0.767820773931,0.747967479675,0.688311688312,0.691891891892,0.673684210526,0.612903225806,1013.76116925
410,0.0974181300317,0.103773027684,0.12641749368,0.761710794297,0.723577235772,0.694805194805,0.688,0.63829787234,0.624,1039.30726436
420,0.0962987429853,0.104021539912,0.127003524401,0.751527494908,0.731707317073,0.701298701299,0.664835164835,0.652631578947,0.622950819672,1060.23449064
430,0.0948209693075,0.101684774612,0.123976661571,0.763747454175,0.756097560976,0.707792207792,0.674157303371,0.68085106383,0.621848739496,1080.67865121
440,0.0949101839282,0.10284450174,0.125487777296,0.763747454175,0.756097560976,0.694805194805,0.681318681319,0.68085106383,0.605042016807,1101.16381378
450,0.0959014736261,0.100932212373,0.123528975699,0.773930753564,0.756097560976,0.707792207792,0.700808625337,0.6875,0.628099173554,1116.83334329
460,0.0955543815065,0.10227501031,0.123243132925,0.775967413442,0.731707317073,0.707792207792,0.702702702703,0.652631578947,0.628099173554,1134.73057187
470,0.0959966797167,0.101406822518,0.125007353898,0.755600814664,0.756097560976,0.701298701299,0.668508287293,0.6875,0.616666666667,1149.64034793
480,0.0948779147798,0.100648041711,0.125377456998,0.775967413442,0.764227642276,0.688311688312,0.699453551913,0.694736842105,0.6,1164.6909166
490,0.0941668243754,0.101107186927,0.121840088891,0.773930753564,0.747967479675,0.701298701299,0.692520775623,0.673684210526,0.610169491525,1176.89415852
500,0.0964435938664,0.101067818142,0.124486813715,0.757637474542,0.747967479675,0.701298701299,0.67217630854,0.673684210526,0.629032258065,1188.91505119
510,0.0948731906589,0.102012681336,0.123978809066,0.775967413442,0.739837398374,0.694805194805,0.701086956522,0.659574468085,0.611570247934,1202.67399187
520,0.0951577770861,0.101109148056,0.124391467945,0.769857433809,0.756097560976,0.681818181818,0.692098092643,0.6875,0.60162601626,1216.80689555
530,0.0946749182874,0.101805586181,0.123427768754,0.771894093686,0.739837398374,0.694805194805,0.695652173913,0.659574468085,0.617886178862,1227.46841726
540,0.0950815977695,0.103083529056,0.124650390463,0.771894093686,0.747967479675,0.701298701299,0.697297297297,0.673684210526,0.629032258065,1237.74295602
550,0.0952249562426,0.102678678118,0.125112035144,0.773930753564,0.756097560976,0.701298701299,0.700808625337,0.6875,0.622950819672,1248.81142372
560,0.0956917658337,0.103032662342,0.125307423705,0.769857433809,0.764227642276,0.694805194805,0.698666666667,0.701030927835,0.624,1259.80365637
570,0.0959528784643,0.102697219628,0.125365404781,0.771894093686,0.747967479675,0.694805194805,0.700534759358,0.680412371134,0.624,1270.29202317
580,0.0957694098174,0.103080640278,0.126626278794,0.771894093686,0.756097560976,0.701298701299,0.702127659574,0.6875,0.629032258065,1280.53568321
590,0.0926983659279,0.105929200774,0.121924645018,0.77800407332,0.723577235772,0.694805194805,0.689458689459,0.630434782609,0.591304347826,1291.08404187
600,0.0945010719537,0.104019788392,0.121787984352,0.771894093686,0.723577235772,0.701298701299,0.685393258427,0.630434782609,0.603448275862,1301.44914632
610,0.0956642392262,0.10042221387,0.12649404433,0.765784114053,0.756097560976,0.701298701299,0.691689008043,0.6875,0.629032258065,1310.93498337
620,0.0930804044791,0.109021798429,0.119891402075,0.77800407332,0.723577235772,0.714285714286,0.684057971014,0.622222222222,0.6,1320.6078061
630,0.0937016154356,0.109266278259,0.121570541915,0.784114052953,0.731707317073,0.707792207792,0.698863636364,0.637362637363,0.601769911504,1330.2665352
640,0.0949292428896,0.106627948697,0.120537000563,0.763747454175,0.723577235772,0.701298701299,0.670454545455,0.622222222222,0.574074074074,1339.61330359
650,0.096721095411,0.0976512469603,0.120663469119,0.753564154786,0.756097560976,0.714285714286,0.657223796034,0.68085106383,0.620689655172,1348.97908574
660,0.0928306872578,0.105539559929,0.120902971261,0.782077393075,0.723577235772,0.688311688312,0.700280112045,0.630434782609,0.593220338983,1358.33410689
670,0.094898937913,0.105496990628,0.118725600629,0.763747454175,0.707317073171,0.701298701299,0.670454545455,0.6,0.581818181818,1367.36378656
680,0.0946271262025,0.103866215774,0.120439959777,0.775967413442,0.756097560976,0.701298701299,0.694444444444,0.69387755102,0.610169491525,1376.76344366
