iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.174134419552,0.174796747967,0.175324675325,0.651731160896,0.650406504065,0.649350649351,0,0,0,0.279943886
10,0.0839765041027,0.148980147295,0.15006592431,0.820773930754,0.69918699187,0.681818181818,0.78640776699,0.647619047619,0.647482014388,1.649881297
20,0.00362758959302,0.143853571615,0.135975562452,0.989816700611,0.707317073171,0.707792207792,0.985590778098,0.590909090909,0.621848739496,2.932172205
30,7.61074910559e-07,0.149149045502,0.131045303763,1.0,0.69918699187,0.720779220779,1.0,0.564705882353,0.612612612613,4.288104728
40,2.46439861861e-09,0.140282618483,0.11986810202,1.0,0.707317073171,0.75974025974,1.0,0.55,0.654205607477,5.65839797
50,6.15827190165e-13,0.137956357993,0.115706149481,1.0,0.723577235772,0.766233766234,1.0,0.575,0.672727272727,6.997137096
60,1.67565301521e-17,0.134954702565,0.113305590515,1.0,0.723577235772,0.772727272727,1.0,0.575,0.678899082569,8.334110812
70,1.77091186663e-23,0.153895440935,0.126927497737,1.0,0.691056910569,0.74025974026,1.0,0.512820512821,0.636363636364,9.675130071
80,5.87262484304e-28,0.152832230831,0.129532170728,1.0,0.691056910569,0.74025974026,1.0,0.512820512821,0.622641509434,11.639930874
90,2.30895655062e-05,0.15228557083,0.133423157368,1.0,0.691056910569,0.733766233766,1.0,0.5,0.609523809524,14.521857841
100,0.00101832993613,0.15131777502,0.136359902612,0.997963340122,0.69918699187,0.727272727273,0.99706744868,0.519480519481,0.596153846154,17.116814837
110,4.43741544695e-33,0.148404030547,0.137323795228,1.0,0.691056910569,0.720779220779,1.0,0.5,0.582524271845,19.607877783
120,4.03297981734e-30,0.149815624748,0.131809236167,1.0,0.69918699187,0.733766233766,1.0,0.519480519481,0.609523809524,22.042771669
130,3.45838071218e-29,0.145010870438,0.129180314821,1.0,0.707317073171,0.74025974026,1.0,0.526315789474,0.615384615385,24.448818263
140,0.00102182875682,0.142549609925,0.130763343752,0.997963340122,0.715447154472,0.733766233766,0.99706744868,0.545454545455,0.609523809524,28.964508307
150,6.2522363693e-21,0.146550770944,0.13155365876,1.0,0.707317073171,0.733766233766,1.0,0.55,0.609523809524,33.483000527
160,4.84683895613e-31,0.150290929815,0.132987561286,1.0,0.69918699187,0.733766233766,1.0,0.543209876543,0.601941747573,37.634465707
170,6.21839440193e-31,0.149998716414,0.133076842063,1.0,0.69918699187,0.733766233766,1.0,0.543209876543,0.601941747573,41.754891286
180,2.08096190439e-27,0.150332701723,0.133040026322,1.0,0.69918699187,0.733766233766,1.0,0.543209876543,0.601941747573,45.833998552
190,3.42648513849e-08,0.151676598841,0.132560481647,1.0,0.691056910569,0.733766233766,1.0,0.525,0.601941747573,50.007139584
200,1.23650488868e-33,0.154956872744,0.135905157749,1.0,0.691056910569,0.727272727273,1.0,0.525,0.588235294118,54.188528466
210,4.35231672894e-34,0.15848323185,0.135228780716,1.0,0.674796747967,0.727272727273,1.0,0.5,0.588235294118,58.44471846
