iterations,fitness,time,fevals
0,23.0,0.000555815,592
10,26.0,0.000992914000001,1061
20,27.0,0.001401312,1549
30,27.0,0.001761113,2028
40,27.0,0.002143164,2508
50,34.0,0.002484036,2987
60,34.0,0.002827649,3479
70,35.0,0.003149118,3964
80,35.0,0.003475583,4446
90,35.0,0.003813299,4933
100,36.0,0.004144587,5416
110,36.0,0.004465679,5904
120,37.0,0.004782598,6387
130,37.0,0.005145648,6871
140,38.0,0.005512189,7353
150,36.0,0.005854801,7837
160,37.0,0.006208181,8321
170,37.0,0.006593447,8803
180,37.0,0.006941578,9272
190,38.0,0.0072797,9743
200,37.0,0.007669461,10226
210,38.0,0.008077443,10702
220,36.0,0.008438793,11189
230,39.0,0.008786664,11674
240,37.0,0.009167391,12147
250,37.0,0.009549604,12644
260,39.0,0.009920988,13125
270,37.0,0.010259245,13606
280,38.0,0.010603834,14087
290,38.0,0.010958003,14583
300,40.0,0.011293959,15062
310,39.0,0.011639844,15553
320,40.0,0.011986889,16042
330,41.0,0.012369911,16541
340,42.0,0.01275491,17015
350,41.0,0.013115653,17498
360,44.0,0.01347066,17979
370,44.0,0.013830573,18477
380,45.0,0.01416724,18961
390,45.0,0.014504651,19456
400,45.0,0.014900949,19940
410,45.0,0.015248883,20435
420,45.0,0.015599019,20932
430,46.0,0.015946695,21408
440,46.0,0.016322603,21899
450,45.0,0.016660996,22390
460,45.0,0.016990404,22870
470,44.0,0.017316165,23348
480,46.0,0.017649238,23830
490,46.0,0.017977582,24312
500,45.0,0.01830833,24791
510,45.0,0.018644594,25287
520,46.0,0.018982717,25758
530,45.0,0.019315061,26240
540,45.0,0.019650632,26726
550,45.0,0.019989175,27197
560,45.0,0.020328547,27685
570,44.0,0.020658571,28162
580,46.0,0.021014758,28647
590,46.0,0.021372529,29136
600,45.0,0.021699323,29625
610,48.0,0.022021549,30106
620,48.0,0.022400703,30582
630,49.0,0.022721257,31052
640,49.0,0.023030684,31531
650,50.0,0.023345561,32011
660,49.0,0.023713256,32491
670,50.0,0.024046702,32987
680,50.0,0.024378286,33476
690,51.0,0.024708727,33975
700,52.0,0.026451362,34445
710,53.0,0.026777807,34934
720,52.0,0.027107369,35427
730,53.0,0.027437923,35913
740,52.0,0.027768223,36394
750,52.0,0.0280949,36865
760,53.0,0.028423147,37358
770,53.0,0.028763064,37841
780,52.0,0.029168738,38318
790,52.0,0.029489386,38801
800,52.0,0.029816747,39295
810,52.0,0.030149779,39774
820,53.0,0.030490761,40259
830,52.0,0.030823634,40748
840,53.0,0.031152965,41238
850,53.0,0.031480668,41714
860,54.0,0.031811488,42207
870,54.0,0.032133961,42694
880,58.0,0.032447948,43178
890,59.0,0.032779687,43660
900,58.0,0.033098371,44141
910,57.0,0.033419248,44611
920,57.0,0.03373525,45085
930,59.0,0.034059206,45571
940,57.0,0.034371732,46047
950,58.0,0.034683103,46525
960,58.0,0.034998328,47012
970,59.0,0.035322483,47488
980,62.0,0.035642098,47967
990,59.0,0.035958329,48456
1000,59.0,0.036282702,48946
1010,60.0,0.03660485,49428
1020,60.0,0.036935015,49917
1030,62.0,0.037258999,50401
1040,59.0,0.037581017,50888
1050,59.0,0.037895774,51374
1060,60.0,0.038204963,51854
1070,59.0,0.038514945,52341
1080,61.0,0.038825969,52814
1090,58.0,0.039136959,53295
1100,59.0,0.039452426,53773
1110,65.0,0.039771813,54261
1120,60.0,0.040081439,54738
1130,60.0,0.040400033,55217
1140,60.0,0.040713088,55688
1150,61.0,0.041045926,56175
1160,61.0,0.041362704,56664
1170,64.0,0.041678778,57162
1180,60.0,0.042006531,57639
1190,60.0,0.042414569,58124
1200,60.0,0.042910433,58599
1210,59.0,0.043353087,59088
1220,59.0,0.043792885,59580
1230,57.0,0.044135368,60059
1240,59.0,0.044449713,60538
1250,58.0,0.044784802,61026
1260,59.0,0.045094702,61503
1270,59.0,0.045448611,61965
1280,62.0,0.045769346,62450
1290,59.0,0.046090766,62916
1300,59.0,0.046409975,63405
1310,61.0,0.046727736,63881
1320,59.0,0.047050838,64369
