iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.174134419552,0.174796747967,0.175324675325,0.651731160896,0.650406504065,0.649350649351,0,0,0,0.18073361
10,0.0737111972292,0.148409984577,0.111985385593,0.841140529532,0.691056910569,0.779220779221,0.729166666667,0.547619047619,0.673076923077,1.312915029
20,0.00150344368134,0.144278821722,0.135135996453,0.997963340122,0.682926829268,0.720779220779,0.99706744868,0.59793814433,0.632478632479,2.496051284
30,0.0010181263066,0.12757451511,0.117757399945,0.997963340122,0.739837398374,0.746753246753,0.99706744868,0.636363636364,0.642201834862,3.695921604
40,2.25861388781e-06,0.122304852493,0.122449416008,1.0,0.747967479675,0.733766233766,1.0,0.666666666667,0.637168141593,4.900324347
50,0.00101832993644,0.127598702943,0.134236490626,0.997963340122,0.739837398374,0.720779220779,0.99706744868,0.644444444444,0.590476190476,6.110782475
60,4.45182868523e-16,0.133050166075,0.131281301626,1.0,0.723577235772,0.727272727273,1.0,0.630434782609,0.618181818182,7.29413892
70,7.89999626379e-24,0.142663487997,0.146568338883,1.0,0.707317073171,0.701298701299,1.0,0.590909090909,0.589285714286,8.483502632
80,1.11139225982e-27,0.131928938376,0.14483209383,1.0,0.723577235772,0.707792207792,1.0,0.604651162791,0.587155963303,9.669324857
90,0.0010183299389,0.12273270275,0.14510141748,0.997963340122,0.731707317073,0.707792207792,0.99706744868,0.620689655172,0.579439252336,10.85024017
100,0.000792260303493,0.124919942879,0.143732784887,0.997963340122,0.747967479675,0.707792207792,0.99706744868,0.635294117647,0.587155963303,12.033948874
110,6.85795933545e-24,0.13334410969,0.149522621414,1.0,0.731707317073,0.688311688312,1.0,0.620689655172,0.547169811321,13.217236134
120,5.43225684672e-31,0.133670303197,0.146852368344,1.0,0.731707317073,0.701298701299,1.0,0.620689655172,0.574074074074,14.478853531
130,5.77291771195e-34,0.134735880895,0.146457593573,1.0,0.723577235772,0.701298701299,1.0,0.604651162791,0.574074074074,15.774118557
140,2.14469675135e-26,0.138888228495,0.139359806457,1.0,0.723577235772,0.707792207792,1.0,0.604651162791,0.587155963303,17.074763921
150,7.04575488048e-12,0.131849142164,0.139516375456,1.0,0.731707317073,0.720779220779,1.0,0.620689655172,0.590476190476,18.263507279
160,4.27841420974e-20,0.131288866877,0.136872676233,1.0,0.723577235772,0.720779220779,1.0,0.622222222222,0.598130841121,19.41600989
170,8.69262255951e-30,0.127641830933,0.131701454519,1.0,0.731707317073,0.733766233766,1.0,0.629213483146,0.616822429907,20.592859466
180,9.37927059662e-34,0.133256580179,0.13166361224,1.0,0.723577235772,0.733766233766,1.0,0.604651162791,0.616822429907,21.783675971
190,0.00101728521822,0.140995358484,0.135621098124,0.997963340122,0.707317073171,0.727272727273,0.99706744868,0.571428571429,0.603773584906,23.005725797
200,2.80186398848e-25,0.138341173712,0.130787084777,1.0,0.715447154472,0.733766233766,1.0,0.588235294118,0.616822429907,24.210780591
210,1.97740157528e-25,0.138215570834,0.129769466959,1.0,0.715447154472,0.74025974026,1.0,0.597701149425,0.62962962963,25.470004053
220,6.95285316042e-34,0.132850180818,0.127233739279,1.0,0.723577235772,0.74025974026,1.0,0.604651162791,0.622641509434,26.685179417
230,8.19336359795e-32,0.130266704729,0.118166950019,1.0,0.723577235772,0.75974025974,1.0,0.604651162791,0.647619047619,27.917766029
240,6.09209295123e-29,0.127165321654,0.122854832025,1.0,0.731707317073,0.746753246753,1.0,0.620689655172,0.628571428571,29.142099452
250,1.41273376827e-27,0.125020578584,0.124120529567,1.0,0.739837398374,0.746753246753,1.0,0.636363636364,0.628571428571,30.369550323
260,3.08738218073e-17,0.130788453068,0.12349779213,1.0,0.731707317073,0.746753246753,1.0,0.620689655172,0.628571428571,31.555425654
270,8.61825269751e-22,0.123334721877,0.123306296628,1.0,0.747967479675,0.746753246753,1.0,0.64367816092,0.635514018692,32.802110891
280,2.10236404364e-32,0.126557464164,0.121200069448,1.0,0.739837398374,0.753246753247,1.0,0.636363636364,0.648148148148,34.039117283
290,1.19443646334e-20,0.131824282278,0.113239145169,1.0,0.731707317073,0.766233766234,1.0,0.620689655172,0.660377358491,35.294832584
300,4.01771633418e-08,0.129947811638,0.123206677567,1.0,0.739837398374,0.746753246753,1.0,0.636363636364,0.635514018692,36.53523827
310,2.64925696805e-30,0.129228667471,0.118448615483,1.0,0.739837398374,0.75974025974,1.0,0.644444444444,0.640776699029,37.775766929
