iterations,fitness,time,fevals
0,560.0,8.766753018,1000
10,605.0,17.137193237,2100
20,681.0,25.196565378,3200
30,725.0,32.166057114,4300
40,736.0,38.373866025,5400
50,749.0,44.630615702,6500
60,759.0,51.517835936,7600
70,761.0,57.385828912,8700
80,761.0,63.139930512,9800
90,761.0,68.886343502,10900
100,763.0,74.749395096,12000
110,763.0,80.434788819,13100
120,763.0,86.255264057,14200
130,763.0,92.040491914,15300
140,763.0,97.540196084,16400
150,761.0,103.279892215,17500
160,763.0,109.07658546,18600
170,763.0,114.697470855,19700
180,763.0,120.327859241,20800
190,761.0,125.902099672,21900
200,761.0,131.623933222,23000
210,763.0,137.338785316,24100
220,763.0,142.981258681,25200
230,763.0,148.645218737,26300
240,763.0,154.825491329,27400
250,763.0,160.500587645,28500
260,761.0,166.277078198,29600
270,763.0,171.859301891,30700
280,763.0,177.615002464,31800
290,763.0,183.331039297,32900
300,763.0,189.021913655,34000
310,761.0,194.523200034,35100
320,763.0,200.210069288,36200
330,763.0,205.959376318,37300
340,763.0,211.772207432,38400
350,761.0,217.544995408,39500
360,763.0,223.152912101,40600
370,763.0,228.965980135,41700
380,763.0,234.844776877,42800
390,765.0,240.533161643,43900
400,763.0,246.04526761,45000
410,763.0,251.749621337,46100
420,763.0,257.534598698,47200
430,761.0,263.033375874,48300
440,761.0,268.727461328,49400
450,763.0,274.378365535,50500
460,763.0,280.183725411,51600
470,763.0,285.843986505,52700
480,761.0,291.296880172,53800
490,763.0,297.037951319,54900
500,763.0,302.616507983,56000
510,763.0,308.242956041,57100
520,763.0,313.993073376,58200
530,761.0,319.460923587,59300
540,761.0,325.043832459,60400
550,763.0,330.772619152,61500
560,763.0,336.314597371,62600
570,763.0,341.948747479,63700
580,765.0,347.516693756,64800
590,763.0,353.087794889,65900
600,763.0,358.762534257,67000
610,761.0,364.424235831,68100
620,763.0,369.870708856,69200
630,761.0,375.427817036,70300
640,763.0,381.080286725,71400
650,763.0,386.74178684,72500
660,761.0,392.2320411,73600
670,761.0,397.904144029,74700
680,761.0,403.816451398,75800
690,761.0,409.999183554,76900
700,763.0,415.532667347,78000
710,763.0,421.172064652,79100
720,763.0,426.777455513,80200
730,763.0,432.463429713,81300
740,761.0,438.113325344,82400
750,761.0,443.713791699,83500
760,763.0,449.19545445,84600
770,763.0,454.904949708,85700
780,763.0,460.586421035,86800
790,763.0,466.279057126,87900
800,763.0,471.93207768,89000
810,763.0,477.474694086,90100
820,761.0,483.180339575,91200
830,763.0,488.770924073,92300
840,761.0,494.368131497,93400
850,763.0,499.935153557,94500
860,763.0,505.672992497,95600
870,761.0,511.310804908,96700
880,763.0,517.160308065,97800
890,763.0,523.027687089,98900
900,763.0,528.840673654,100000
910,761.0,534.531609645,101100
920,763.0,540.292651522,102200
930,763.0,546.064677959,103300
940,761.0,552.278094501,104400
950,763.0,557.94284957,105500
960,763.0,563.453519858,106600
970,763.0,569.136378657,107700
980,763.0,574.623804214,108800
990,761.0,580.398733443,109900
1000,763.0,586.069194221,111000
1010,763.0,591.675171575,112100
1020,763.0,597.304840144,113200
1030,761.0,602.99868287,114300
1040,765.0,608.564212096,115400
1050,761.0,614.208620098,116500
1060,763.0,619.68427926,117600
1070,761.0,625.312428997,118700
1080,761.0,631.766147538,119800
1090,763.0,637.649585474,120900
1100,761.0,643.23784465,122000
1110,763.0,648.790836069,123100
1120,763.0,654.36979825,124200
1130,761.0,660.139192368,125300
1140,761.0,665.682659831,126400
1150,763.0,671.321569053,127500
1160,763.0,676.792819582,128600
1170,761.0,682.550573044,129700
1180,763.0,688.204940563,130800
1190,763.0,693.715235811,131900
1200,763.0,699.444012803,133000
1210,763.0,705.966907976,134100
1220,763.0,712.245709123,135200
1230,763.0,717.67914185,136300
1240,765.0,723.35277648,137400
1250,761.0,728.821243901,138500
1260,765.0,734.500140722,139600
1270,763.0,740.150425246,140700
1280,765.0,745.831901737,141800
1290,765.0,751.522723309,142900
1300,765.0,757.18557346,144000
1310,765.0,762.820148162,145100
1320,765.0,768.279453234,146200
1330,765.0,774.051693116,147300
1340,765.0,779.677867949,148400
1350,765.0,785.567283079,149500
1360,765.0,792.233413459,150600
1370,765.0,798.018410033,151700
1380,765.0,803.529695591,152800
1390,765.0,809.287323041,153900
1400,765.0,814.712423564,155000
1410,764.0,820.329523239,156100
1420,765.0,826.095968337,157200
1430,763.0,831.622330414,158300
1440,765.0,837.157080887,159400
1450,763.0,842.866978422,160500
1460,765.0,848.455485656,161600
1470,763.0,854.052336225,162700
1480,765.0,859.595206744,163800
1490,765.0,865.194692731,164900
1500,765.0,870.765757718,166000
1510,767.0,876.414369417,167100
1520,763.0,881.960333337,168200
1530,763.0,887.670613827,169300
1540,765.0,893.37122204,170400
1550,763.0,899.825276374,171500
1560,765.0,906.308854473,172600
1570,765.0,911.928974148,173700
1580,763.0,917.641831318,174800
1590,763.0,923.253624462,175900
1600,765.0,928.967230565,177000
1610,763.0,934.577034023,178100
1620,765.0,940.246413434,179200
1630,767.0,945.854851717,180300
1640,765.0,951.398219067,181400
1650,763.0,957.154776422,182500
1660,764.0,962.812048479,183600
1670,763.0,968.388970371,184700
1680,765.0,974.075355748,185800
1690,765.0,979.794505796,186900
1700,765.0,985.432950752,188000
1710,765.0,991.025817403,189100
1720,765.0,996.810328464,190200
1730,765.0,1002.61688069,191300
1740,767.0,1008.17448206,192400
1750,765.0,1013.80516626,193500
1760,765.0,1019.56321674,194600
1770,765.0,1025.36498913,195700
1780,765.0,1030.94167981,196800
1790,763.0,1036.62407842,197900
1800,765.0,1042.37023514,199000
1810,765.0,1048.3266263,200100
1820,765.0,1054.02628589,201200
1830,765.0,1059.71645357,202300
1840,763.0,1065.29821486,203400
1850,765.0,1070.78715057,204500
1860,764.0,1076.53045078,205600
1870,765.0,1082.20673018,206700
1880,765.0,1087.93387694,207800
1890,763.0,1093.52671814,208900
1900,765.0,1099.21726571,210000
1910,763.0,1104.83726382,211100
1920,765.0,1110.49457807,212200
1930,765.0,1115.90403326,213300
1940,765.0,1121.57935108,214400
1950,765.0,1127.39667252,215500
1960,765.0,1133.02061938,216600
