iterations,fitness,time,fevals
0,540.0,0.010810114,798
10,537.0,0.019414764,1493
20,531.0,0.023995997,2193
30,543.0,0.027452089,2888
40,538.0,0.030855917,3583
50,538.0,0.034167927,4271
60,556.0,0.040016277,4957
70,542.0,0.043242475,5645
80,544.0,0.046403276,6344
90,546.0,0.049565725,7061
100,551.0,0.053247821,7756
110,552.0,0.055185915,8445
120,554.0,0.056826296,9134
130,552.0,0.058381261,9841
140,550.0,0.059927612,10537
150,555.0,0.061481062,11242
160,557.0,0.063093088,11928
170,559.0,0.064568019,12632
180,558.0,0.066048536,13332
190,557.0,0.067723218,14027
200,564.0,0.069296311,14722
210,562.0,0.070755707,15425
220,556.0,0.072264048,16136
230,562.0,0.074006812,16842
240,564.0,0.075467181,17539
250,566.0,0.076927996,18233
260,568.0,0.079081827,18930
270,568.0,0.081643839,19625
280,564.0,0.08333114,20319
290,568.0,0.084965473,21023
300,570.0,0.08640414,21708
310,576.0,0.087863193,22416
320,578.0,0.089330987,23111
330,564.0,0.091015779,23803
340,564.0,0.09260047,24502
350,562.0,0.094150407,25190
360,556.0,0.095573277,25887
370,562.0,0.096995396,26581
380,568.0,0.098433606,27265
390,562.0,0.09982537,27967
400,564.0,0.101199916,28648
410,562.0,0.102635422,29348
420,562.0,0.104254297,30051
430,560.0,0.105754012,30753
440,568.0,0.107218888,31459
450,564.0,0.108794839,32161
460,564.0,0.110238683,32845
470,564.0,0.11167617,33551
480,560.0,0.113070095,34251
490,566.0,0.114705906,34941
500,566.0,0.116977017,35646
510,564.0,0.118448041,36353
520,568.0,0.11994278,37053
530,560.0,0.121411457,37757
540,566.0,0.122828624,38450
550,562.0,0.124277198,39156
560,566.0,0.125848258,39845
570,564.0,0.127465891,40548
580,569.0,0.128909891,41244
590,566.0,0.130482667,41927
600,570.0,0.1322921,42626
610,568.0,0.133787918,43331
620,568.0,0.135245364,44019
630,574.0,0.137350387,44723
640,568.0,0.138862424,45417
650,568.0,0.140312055,46110
660,572.0,0.141939287,46794
670,574.0,0.14343339,47495
680,570.0,0.144888571,48195
690,574.0,0.146345833,48890
700,574.0,0.147880253,49573
710,574.0,0.149335216,50270
720,576.0,0.150768941,50978
730,572.0,0.156720108,51670
740,578.0,0.162055283,52377
750,574.0,0.167431143,53084
760,574.0,0.172700156,53772
770,576.0,0.178027824,54480
780,574.0,0.183240488,55187
790,580.0,0.188551355,55879
800,574.0,0.193923233,56577
810,576.0,0.195473912,57267
820,574.0,0.197276964,57955
830,578.0,0.19935178,58644
840,578.0,0.201296109,59350
850,578.0,0.202902361,60053
860,576.0,0.204532588,60755
870,582.0,0.206841968,61453
880,582.0,0.208669019,62156
890,582.0,0.210422747,62855
900,586.0,0.214294222,63567
910,578.0,0.216423776,64272
920,584.0,0.218043222,64986
930,576.0,0.219907965,65675
940,582.0,0.221425352,66382
950,582.0,0.223093628,67085
960,584.0,0.224588127,67771
970,586.0,0.226073719,68463
980,584.0,0.227556348,69151
990,588.0,0.22923547,69846
1000,586.0,0.232179015,70535
1010,586.0,0.23394696,71229
1020,584.0,0.235795377,71919
1030,588.0,0.237532161,72600
1040,586.0,0.239140812,73293
1050,580.0,0.241096213,73989
1060,582.0,0.243227524,74697
1070,584.0,0.244883001,75398
1080,588.0,0.24675791,76095
1090,588.0,0.248245795,76784
1100,590.0,0.249936295,77485
1110,586.0,0.251489721,78199
1120,584.0,0.253051188,78900
1130,586.0,0.254578335,79598
1140,580.0,0.256037402,80282
1150,578.0,0.257496212,80984
1160,576.0,0.258929745,81684
1170,582.0,0.260554583,82377
1180,580.0,0.261984062,83072
1190,588.0,0.263652876,83766
1200,580.0,0.265162002,84454
1210,578.0,0.266683454,85136
1220,588.0,0.268729074,85829
1230,586.0,0.27060508,86516
1240,582.0,0.272526558,87225
1250,576.0,0.274113605,87908
1260,580.0,0.275817867,88586
1270,580.0,0.277253706,89283
1280,584.0,0.27966988,89974
1290,576.0,0.281245411,90683
1300,574.0,0.282826678,91376
1310,576.0,0.284399637,92069
1320,578.0,0.285904033,92753
